Date,Predicted_Close
2026-02-26,315.34
2026-02-27,317.81
2026-03-02,320.65
2026-03-03,325.21
2026-03-04,328.9
2026-03-05,332.97
2026-03-06,337.07
2026-03-09,340.86
2026-03-10,346.21
2026-03-11,350.33
2026-03-12,353.56
2026-03-13,355.98
2026-03-16,358.25
2026-03-17,361.98
2026-03-18,365.88
2026-03-19,369.77
2026-03-20,373.34
2026-03-23,376.28
2026-03-24,380.45
2026-03-25,383.55
2026-03-26,387.48
2026-03-27,391.93
2026-03-30,396.61
2026-03-31,401.17
2026-04-01,405.13
2026-04-02,408.05
2026-04-03,412.28
2026-04-06,416.03
2026-04-07,420.21
2026-04-08,425.35
